library,hvplot,geoviews,seaborn,holoviews,geopandas,matplotlib,numpy,bokeh,pandas
hvplot,0.0,0.0326086956521739,0.0217391304347826,0.5398550724637681,0.0489130434782608,0.0235507246376811,0.0,0.1105072463768115,0.1032608695652173
geoviews,0.0476190476190476,0.0,0.0,0.4312169312169311,0.0582010582010582,0.0396825396825396,0.0079365079365079,0.1402116402116402,0.0846560846560846
seaborn,0.0002697599136768,0.0,0.0,0.0001348799568384,0.0006069598057728,0.4680334502292959,0.01587087492132,0.0020007193597698,0.230779606150526
holoviews,0.0916359163591636,0.0501230012300122,0.0018450184501845,0.0,0.0030750307503075,0.030750307503075,0.0101476014760147,0.3717712177121771,0.0661131611316113
geopandas,0.0027239709443099,0.0022195318805488,0.0027239709443099,0.0010088781275221,0.0,0.1186440677966101,0.0099878934624697,0.0117029862792574,0.2505044390637611
matplotlib,3.5780735651925e-05,4.128546421375962e-05,0.0573042243286983,0.0002752364280917,0.0032367803943587,0.0,0.0871976527837412,0.0015936189186511,0.1355484361066155
numpy,0.0,5.330660895337804e-06,0.0012544821973694,5.863726984871584e-05,0.0001759118095461,0.0562935559417323,0.0,0.0001439278441741,0.1672672544608747
bokeh,0.0023179814561483,0.0020139838881288,0.0033819729442164,0.0459416324669402,0.0044079647362821,0.0220018239854081,0.0030779753761969,0.0,0.0878552971576227
pandas,4.420269962171795e-05,2.4815550664824112e-05,0.0079611388476588,0.0001667294810292,0.0019255316343986,0.0381911324731643,0.073000370682288,0.0017929235355335,0.0
